feature,importance
question_length,0.12830428626814072
A_length,0.10595608276683835
std_answer_length,0.0840756932594668
D_length,0.0779641842616397
C_length,0.0732745309878795
answer_length_range,0.0701078779763424
B_length,0.06263565114708214
mean_answer_length,0.061248786966247616
correct_answer_length,0.06007212938565338
question_word_count,0.055199489718032645
A_word_count,0.04998274801691147
D_word_count,0.04749664251128404
B_word_count,0.0466515388046095
C_word_count,0.032569642823627856
num_documents,0.032260823197055415
has_technical_terms,0.008503707936650609
has_numbers,0.003696183972537928
