query_id,query_text,chunk_id_list,doc_id_list,LLM_answer
1_5,"What information is available about the following topic from the documents? ```

This will download and cache the dataset, like we saw in [Chapter 3](/course/chapter3) for the ...",25367,2206.0,To be generated by LLM
1_5,"What information is available about the following topic from the documents? ```

By default, loading local files creates a `DatasetDict` object with a `train` split. We can see...",5214,406.0,To be generated by LLM
1_28,"What information is available about the following topic from the documents? Indeed `load_dataset` allows to load remote dataset script (squad, glue, etc.) but also you own loca...",30464,2578.0,To be generated by LLM
1_2,"What information is available about the following topic from the documents? configs:  # Optional for datasets with multiple configurations like glue.
- {config_0}  # Example fo...",2799,178.0,To be generated by LLM
1_13,What information is available about the following topic from the documents? The example script uses the 🤗 Datasets library. You can easily customize them to your needs if you n...,18649,1566.0,To be generated by LLM
1_8,"What information is available about the following topic from the documents? ```py
>>> from datasets import get_dataset_config_names, get_dataset_split_names, load_dataset

>>> ...",24240,2096.0,To be generated by LLM
1_3,"What information is available about the following topic from the documents? ```

## Builder parameters

Not only `data_files`, but other builder-specific parameters can be pass...",29515,2500.0,To be generated by LLM
1_0,"What information is available about the following topic from the documents? Load tabular data

A tabular dataset is a generic dataset used to describe any data stored in rows a...",6773,535.0,To be generated by LLM
1_10,"What information is available about the following topic from the documents? ```

This can be useful if you don't want to manually decompress many GZIP files. The automatic deco...",5219,406.0,To be generated by LLM
1_4,"What information is available about the following topic from the documents? # Or from a dataset
>>> snapshot_download(repo_id=""google/fleurs"", repo_type=""dataset"")
'/home/lysan...",887,82.0,To be generated by LLM
2_15,"What information is available about the following topic from the documents? ```Python
def create_dataloaders(args):
    ds_kwargs = {""streaming"": True}
    train_data = load_da...",16068,1336.0,To be generated by LLM
2_20,"What information is available about the following topic from the documents? ```

## Test a script

It is often a good idea to run your script on a smaller number of dataset exa...",11399,973.0,To be generated by LLM
2_10,"What information is available about the following topic from the documents? def __call__(self, features):
        batch_size = len(features)
        # this is a bit of a hack t...",19403,1628.0,To be generated by LLM
2_3,"What information is available about the following topic from the documents? train_dataset = processed_datasets[""train""]
eval_dataset = processed_datasets[""validation""]

train_d...",9345,794.0,To be generated by LLM
2_7,What information is available about the following topic from the documents? # Optional. Add this if you want to encode a train and evaluation info in a structured way for AutoT...,2804,178.0,To be generated by LLM
2_72,"What information is available about the following topic from the documents? ### Preparing everything for training[[preparing-everything-for-training]]

First we need to build t...",7383,586.0,To be generated by LLM
2_37,"What information is available about the following topic from the documents? # we apply the transformations in train mode
    testing_instances = instance_sampler.apply(transfor...",29184,2484.0,To be generated by LLM
2_1,What information is available about the following topic from the documents? rows randomly.Another way to shuffle the data is to create random train and test splits. This can be...,192,27.0,To be generated by LLM
2_8,"What information is available about the following topic from the documents? ```

This returns a [`Dataset`](https://huggingface.co/docs/datasets/v2.7.1/en/package_reference/mai...",9704,832.0,To be generated by LLM
2_29,"What information is available about the following topic from the documents? ```


To apply this function to all data samples in our dataset, we use the [`map`](https://huggingf...",1504,128.0,To be generated by LLM
3_16,What information is available about the following topic from the documents? | 9      | Word sense            | This is the word sense of the word in Column 3.                  ...,23666,2028.0,To be generated by LLM
3_17,"What information is available about the following topic from the documents? '>> Title: Helpful'
'>> Review: Nearly all the tips useful and. I consider myself an intermediate to...",18540,1559.0,To be generated by LLM
3_3,"What information is available about the following topic from the documents? </details>



### Q6: What's the difference between on-policy and off-policy

<details>
<summary>Sol...",22713,1954.0,To be generated by LLM
3_36,What information is available about the following topic from the documents? '>>> .... at.. [MASK]... [MASK]... high. a classic line plucked inspector : i\'[MASK] here to [MASK]...,3615,266.0,To be generated by LLM
3_3,"What information is available about the following topic from the documents? <Question
	choices={[
		{
			text: ""The state is a complete description of the state of the world (t...",14596,1200.0,To be generated by LLM
3_2,What information is available about the following topic from the documents? How? In the ways that they prefer. Here are some examples of the first Fellows:...,30839,2621.0,To be generated by LLM
3_4,"What information is available about the following topic from the documents? ### Love that you wanted to something that felt meaningful!

**Sasha:** Yeah, when I hear people on ...",13820,1130.0,To be generated by LLM
3_51,"What information is available about the following topic from the documents? ```

```python out
{""patient_id"":141780,""drugName"":""Escitalopram"",""condition"":""depression"",""review"":...",25503,2210.0,To be generated by LLM
3_4,What information is available about the following topic from the documents? * **Can I be enrolled as a student at a university or work for another employer during the residency...,22286,1909.0,To be generated by LLM
3_15,What information is available about the following topic from the documents? # Exploring many routes...,19166,1618.0,To be generated by LLM
4_0,"What information is available about the following topic from the documents? --
title: Using Stable Diffusion with Core ML on Apple Silicon
thumbnail: /blog/assets/diffusers_cor...",17001,1437.0,To be generated by LLM
4_32,"What information is available about the following topic from the documents? ```

![png](assets/98_stable_diffusion/stable_diffusion_k_lms.png)

We've gone from the basic use of...",5880,466.0,To be generated by LLM
4_0,"What information is available about the following topic from the documents? --
title: 🧨 Stable Diffusion  in JAX / Flax !
thumbnail: /blog/assets/108_stable_diffusion_jax/thumb...",13664,1117.0,To be generated by LLM
4_5,"What information is available about the following topic from the documents? |                        | Latency (batch size = 1) | Throughput  |
| ---------------------- |:-----...",13135,1084.0,To be generated by LLM
4_7,"What information is available about the following topic from the documents? 1. Starting with a pretrained Stable Diffusion (SD) Model
2. Training a frozen [CLIP](https://huggin...",12902,1071.0,To be generated by LLM
4_0,"What information is available about the following topic from the documents? !--Copyright 2023 The HuggingFace Team. All rights reserved.

Licensed under the Apache License, Ver...",13892,1132.0,To be generated by LLM
4_2,"What information is available about the following topic from the documents? | **Model Type** | **Model Parameters** | **Storage (fp16)** |
| --- | --- | --- |
| [ControlNet-SDX...",5046,400.0,To be generated by LLM
4_25,What information is available about the following topic from the documents? - [LoRA the Explorer (experimental LCM version)](https://huggingface.co/spaces/latent-consistency/lc...,25244,2188.0,To be generated by LLM
4_23,"What information is available about the following topic from the documents? ## ControlNet with Stable Diffusion XL

There aren't too many ControlNet models compatible with Stab...",11624,989.0,To be generated by LLM
4_0,"What information is available about the following topic from the documents? Custom Diffusion training example 

[Custom Diffusion](https://arxiv.org/abs/2212.04488) is a method...",22807,1963.0,To be generated by LLM
5_11,"What information is available about the following topic from the documents? ### Tools & Demos
- [StarCoder Chat](https://huggingface.co/chat?model=bigcode/starcoder): Chat with...",8632,721.0,To be generated by LLM
5_0,"What information is available about the following topic from the documents? !--Copyright 2023 The GLIGEN Authors and The HuggingFace Team. All rights reserved.

Licensed under ...",3953,300.0,To be generated by LLM
5_4,"What information is available about the following topic from the documents? <img src=""https://huggingface.co/datasets/huggingface/documentation-images/resolve/main/transformers...",15775,1315.0,To be generated by LLM
5_23,What information is available about the following topic from the documents? | ![repo-screenshot.png](https://huggingface.co/datasets/huggingface/documentation-images/resolve/ma...,17733,1504.0,To be generated by LLM
5_27,What information is available about the following topic from the documents? - EleutherAI LM harness implementation commit e47e01b: https://github.com/EleutherAI/lm-evaluation-h...,11959,1015.0,To be generated by LLM
5_2,"What information is available about the following topic from the documents? Here are some notable features of Panel that our users find valuable. 

- Panel provides extensive s...",16320,1369.0,To be generated by LLM
5_2,"What information is available about the following topic from the documents? ## Step 2: Import and Decimate the Model

Next, open [Blender](https://www.blender.org/download/) (v...",21289,1803.0,To be generated by LLM
5_0,"What information is available about the following topic from the documents? Create Your Own Friends with a GAN

Related spaces: https://huggingface.co/spaces/NimaBoscarino/cryp...",6827,542.0,To be generated by LLM
5_38,"What information is available about the following topic from the documents? ### Sept 7, 2022
* Hugging Face [`timm` docs](https://huggingface.co/docs/hub/timm) home now exists,...",8287,677.0,To be generated by LLM
5_13,What information is available about the following topic from the documents? - [@RonanMcGovern](https://huggingface.co/RonanMcGovern) has posted a [video about the flow](https:/...,26718,2281.0,To be generated by LLM
6_20,"What information is available about the following topic from the documents? ```

### Train tokenizer
In the first step, we train a tokenizer to efficiently process the text inp...",18656,1566.0,To be generated by LLM
6_29,"What information is available about the following topic from the documents? To make it clearer that `"" ""` has its own token class, we give it a more visible character `|`. In a...",21109,1783.0,To be generated by LLM
6_3,"What information is available about the following topic from the documents? ```py
from sentence_transformers import SentenceTransformer, models

## Step 1: use an existing lang...",24911,2156.0,To be generated by LLM
6_5,What information is available about the following topic from the documents? You can find the whole list of building blocks [here](https://huggingface.co/docs/tokenizers/python/...,15163,1254.0,To be generated by LLM
6_114,"What information is available about the following topic from the documents? ```

This creates and saves our tokenizer directly in the cloned repository.
Finally, we can start t...",15921,1318.0,To be generated by LLM
6_14,"What information is available about the following topic from the documents? tokens.
- [#136]: Updated Pyo3 version
- [#136]: Static methods `Model.from_files` and `Model.empty`...",23902,2058.0,To be generated by LLM
6_8,"What information is available about the following topic from the documents? ```
During preprocessing the dataset is downloaded and stored locally as well as caches of the compu...",5191,404.0,To be generated by LLM
6_71,"What information is available about the following topic from the documents? ```

You might have to take a deeper look again into the original repository to find the correct tok...",20541,1734.0,To be generated by LLM
6_13,"What information is available about the following topic from the documents? </Tip>

### Processing the data[[processing-the-data]]

<Youtube id=""XAR8jnZZuUs""/>

You should know...",7128,574.0,To be generated by LLM
6_66,"What information is available about the following topic from the documents? **9. Implement the tokenizer**

Next, we should add the tokenizer of *[camelcase name of model]*. Us...",1223,106.0,To be generated by LLM
7_16,"What information is available about the following topic from the documents? smp_options = {
    ""enabled"":True,
    ""parameters"": {
        ""microbatches"": 4,
        ""placemen...",29989,2537.0,To be generated by LLM
7_4,"What information is available about the following topic from the documents? ```

Here, we train for 100 epochs with a learning rate of 2e-5. Note that the SimMIM authors used a...",17169,1451.0,To be generated by LLM
7_4,"What information is available about the following topic from the documents? ```
<!-- accelerate_snippet_end -->


To run on your own training files prepare the dataset accordin...",8474,701.0,To be generated by LLM
7_46,What information is available about the following topic from the documents? We used HuggingFace’s powerful APIs and AutoTrain along with Kili’s easy-to-use interface in this ex...,9058,759.0,To be generated by LLM
7_17,"What information is available about the following topic from the documents? ```

📓 Open the [sagemaker-notebook.ipynb notebook](https://github.com/huggingface/notebooks/blob/ma...",29990,2537.0,To be generated by LLM
7_8,"What information is available about the following topic from the documents? ```

Here is an example [Weights and Biases page](https://wandb.ai/sayakpaul/custom-diffusion/runs/3...",22815,1963.0,To be generated by LLM
7_11,"What information is available about the following topic from the documents? ```

If you are running a `TrainingJob` locally, define `instance_type='local'` or `instance_type='l...",29984,2537.0,To be generated by LLM
7_18,"What information is available about the following topic from the documents? ```


Almost ready to train! The last thing needed before that is to set up the training configurati...",17380,1467.0,To be generated by LLM
7_3,"What information is available about the following topic from the documents? ```

Here: 
- `INSTANCE_DIR`: The directory containing the images that you intend to use for trainin...",9236,782.0,To be generated by LLM
7_10,"What information is available about the following topic from the documents? We define four parameters:

1. `mlagents-learn <config>`: the path where the hyperparameter config f...",8369,686.0,To be generated by LLM
8_7,"What information is available about the following topic from the documents? Batch Size: 128
    Image Size: '256'
    Weight Decay: 0.005
    Interpolation: bilinear
    Traini...",13614,1112.0,To be generated by LLM
8_8,"What information is available about the following topic from the documents? Training Data:
    - ImageNet
    Training Resources: 4x NVIDIA V100 GPUs
    ID: rexnet_130
    LR:...",16302,1367.0,To be generated by LLM
8_13,"What information is available about the following topic from the documents? Image Size: '224'
    LR Step Size: 30
    Weight Decay: 0.0001
    Interpolation: bilinear
  Code: ...",22246,1903.0,To be generated by LLM
8_7,"What information is available about the following topic from the documents? Weights: https://download.pytorch.org/models/resnext101_32x8d-8ba56ff5.pth
  Results:
  - Task: Imag...",26087,2234.0,To be generated by LLM
8_8,"What information is available about the following topic from the documents? Parameters: 27560000
    File Size: 110559176
    Architecture:
    - 1x1 Convolution
    - Batch No...",19673,1663.0,To be generated by LLM
8_9,What information is available about the following topic from the documents? Weights: https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_re...,26738,2284.0,To be generated by LLM
8_11,"What information is available about the following topic from the documents? Metrics:
      Top 1 Accuracy: 81.61%
      Top 5 Accuracy: 96.04%
- Name: ssl_resnext50_32x4d
  In ...",11587,986.0,To be generated by LLM
8_10,"What information is available about the following topic from the documents? ID: hrnet_w30
    Epochs: 100
    Layers: 30
    Crop Pct: '0.875'
    Momentum: 0.9
    Batch Size:...",8543,710.0,To be generated by LLM
8_9,"What information is available about the following topic from the documents? Architecture:
    - 1x1 Convolution
    - Bottleneck Residual Block
    - Convolution
    - Global A...",3932,296.0,To be generated by LLM
8_13,"What information is available about the following topic from the documents? File Size: 268957432
    Architecture:
    - Batch Normalization
    - Convolution
    - ReLU
    - ...",19014,1602.0,To be generated by LLM
9_8,"What information is available about the following topic from the documents? Thanks [@pngwn](https://github.com/pngwn)!

### Features

- [#5215](https://github.com/gradio-app/gr...",3053,209.0,To be generated by LLM
9_147,What information is available about the following topic from the documents? - [#5726](https://github.com/gradio-app/gradio/pull/5726) [`96c4b97c7`](https://github.com/gradio-ap...,27347,2341.0,To be generated by LLM
9_8,"What information is available about the following topic from the documents? Thanks [@pngwn](https://github.com/pngwn)!

### Features

- [#5215](https://github.com/gradio-app/gr...",22295,1910.0,To be generated by LLM
9_14,"What information is available about the following topic from the documents? Thanks [@pngwn](https://github.com/pngwn)!

### Features

- [#5268](https://github.com/gradio-app/gr...",9130,764.0,To be generated by LLM
9_7,"What information is available about the following topic from the documents? Thanks [@pngwn](https://github.com/pngwn)!

### Features

- [#5215](https://github.com/gradio-app/gr...",12471,1029.0,To be generated by LLM
9_7,"What information is available about the following topic from the documents? Thanks [@pngwn](https://github.com/pngwn)!

### Features

- [#5215](https://github.com/gradio-app/gr...",20427,1726.0,To be generated by LLM
9_20,"What information is available about the following topic from the documents? Thanks [@pngwn](https://github.com/pngwn)!

### Features

- [#5215](https://github.com/gradio-app/gr...",13486,1097.0,To be generated by LLM
